code;libelle_v2020;classant_2020
AAQP010;Électroencéphalographie de longue durée de plus de 4 heures sur 8 dérivations ou plus, avec enregistrement vidéo;1
AAQP002;Électroencéphalographie continue ambulatoire sur 8 dérivations ou plus, pendant au moins 24 heures [Holter EEG];1
AALA002;Implantation d’électrode subdurale pour enregistrement électrocorticographique, par craniotomie;1
AALB002;Implantation d’électrode intracérébrale pour enregistrement électroencéphalographique, par voie stéréotaxique;1
AMQP010;Polysomnographie de 4 à 8 heures, sans enregistrement vidéo;1
AMQP011;Polysomnographie de 4 à 8 heures, avec enregistrement vidéo;1
AMQP012;Polysomnographie de 8 à 12 heures, sans enregistrement vidéo;1
AMQP013;Polysomnographie de 8 à 12 heures, avec enregistrement vidéo;1
AMQP014;Polysomnographie de 12 à 24 heures, sans enregistrement vidéo;1
AMQP015;Polysomnographie de 12 à 24 heures, avec enregistrement vidéo;1
ABLB001;Pose d'un cathéter ventriculaire cérébral par voie transcrânienne, avec mesure instantanée de la pression intracrânienne et tests dynamiques;1
ABLB002;Pose d'un capteur ventriculaire de pression intracrânienne, par voie transcrânienne;1
ABLB003;Pose d'un capteur extraventriculaire de pression intracrânienne, par voie transcrânienne;1
ABGA001;Ablation d'un capteur de pression intracrânienne;1
ACQC001;Exploration intracrânienne, par vidéochirurgie;1
ACHH001;Ponction ou cytoponction de lésion intracrânienne, par voie transcutanée avec guidage scanographique;1
ACHJ001;Ponction ou cytoponction de lésion intracrânienne, par voie transcutanée avec guidage remnographique [IRM];1
ACHB001;Biopsie de lésion intracrânienne, par voie transcrânienne stéréotaxique;1
ACHA002;Biopsie de lésion intracrânienne, par craniotomie;1
ACHA003;Biopsie de lésion de la base du crâne, par endoscopie buccale ou nasale;1
ACHA001;Biopsie de lésion de la base du crâne, par abord transoral ou nasosphénoïdal;1
AHHA001;Biopsie de nerf périphérique, par abord direct;1
AHHA002;Biopsie neuromusculaire, par abord direct;1
AGLB001;Injection péridurale [épidurale] d'agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique;1
AANB001;Destruction d'une cible intracérébrale à visée fonctionnelle, par voie stéréotaxique;1
