cmd01,cmd02,cmd03,cmd04,cmd05,cmd06,cmd07,cmd08,cmd09,cmd10,cmd11,cmd12,cmd13,cmd14,cmd16,cmd17,cmd21,cmd22,cmd23
AAFA001,ABSA005,ABSA002,AHGA001,AHCA002,AALA004,AJNA001,AALA004,AJFA001,ACFA022,AALA004,EGCA004,AHFA005,HPQC001,EZQA001,AAFA001,AAFA003,BAEA002,AAQP002
AAFA002,ACFA001,ABSA003,AHKA001,AHCA008,ADPA002,AJNC001,ACFA001,AJFA002,BGFA002,AEKA001,EGFA008,FCFA006,JJFA001,FBFA001,AAFA002,AAFA004,BAMA001,AAQP010
AAFA003,ACFA015,ABSA004,AHLA002,AHCA012,ADPA014,AJNC002,ACFA003,AJFA003,BGJA001,AELA001,EGFA010,FCFA010,JJFA002,FBFA003,AAFA003,AAFA006,BAMA003,AMQP010
AAFA004,ACFA026,ABSA005,DCFA001,AHCA017,ADPA018,DGCA005,ACFA004,AJFC001,BGJA002,AELA002,EGFC001,FCFA011,JJFA004,FBFA900,AAFA004,AAFA007,BAMA004,AMQP011
AAFA005,BAAA001,ABSA006,DCJA001,AJFA001,ADPA019,DGCA014,ACFA006,AJFC002,BGPA001,AELB001,EGSA001,FCFA019,JJFA007,FBFC900,AAFA005,AAFA008,BAMA007,AMQP012
AAFA006,BAAA002,ACFA001,DCMA001,AJFA002,ADPA022,DGCA016,ACFA009,BACA001,BGPA002,AELB002,EGSA002,FCFA022,JJFA050,FCCA001,AAFA006,AAGA900,BAMA008,AMQP013
AAFA007,BABA001,ACFA003,DCMC001,AJFA003,ADPA024,EDLA001,ACFA011,BACA002,BGPA003,AHLA003,ELCA003,FCFC001,JJFC001,FCFA001,AAFA007,AAJA001,BAMA010,AMQP014
AAFA008,BACA001,ACFA005,DFBA001,AJFC001,ADPC001,EDLF016,ACFA013,BACA003,DGCA003,AHLB018,ELCA004,FCFC003,JJFC004,FCFA002,AAGA900,AAJA002,BAMA012,AMQP015
AAGA900,BACA002,ACFA006,DFCA001,AJFC002,ADPC002,EDLF017,ACFA015,BACA005,DGCA004,DGCA014,ELSA001,FCFC004,JJFC006,FCFA003,AAJA001,AAJA003,BAMA013,GLQP005
AAJA001,BACA003,ACFA007,DFEA001,DAAA001,ADPC003,EHAA001,ACFA016,BACA006,DGCA009,DGCA016,ELSC001,FCFC005,JJFC010,FCFA004,AAJA002,AAJA004,BAMA015,GLQP007
