,finess,type
0,010000156,Privé
1,010000222,Privé
2,010000255,Privé
3,010000339,Public
4,010000347,Public
5,010000354,Public
6,010000362,Public
7,010000388,Public
8,010000396,Public
9,010000404,Public
10,010000438,Public
11,010000446,Public
12,010000453,Public
13,010000487,Public
14,010000545,Privé
15,010000578,Public
16,010000594,Public
17,010000602,Privé
18,010000628,Privé
19,010000735,Privé
20,010000925,Privé
21,010000974,Privé
22,010001022,Public
23,010001063,Public
24,010001113,Privé
25,010001121,Privé
26,010001154,Privé
27,010001352,Privé
28,010001725,Privé
29,010002277,Privé
30,010002293,Privé
31,010002327,Privé
32,010002343,Privé
33,010002376,Privé
34,010002392,Privé
35,010002426,Privé
36,010002442,Privé
37,010002475,Privé
38,010002491,Privé
39,010002525,Privé
40,010002541,Privé
41,010002574,Privé
42,010002590,Privé
43,010002624,Privé
44,010002640,Privé
45,010002665,Privé
46,010002681,Privé
47,010002715,Privé
48,010002731,Privé
49,010002764,Privé
50,010002780,Privé
51,010002814,Privé
52,010002830,Privé
53,010002897,Privé
54,010002913,Privé
55,010002947,Privé
56,010002962,Privé
57,010002996,Privé
58,010003010,Privé
59,010003028,Privé
60,010003044,Privé
61,010003077,Privé
62,010003093,Privé
63,010003127,Privé
64,010003143,Privé
65,010003176,Privé
66,010003192,Privé
67,010003242,Privé
68,010003259,Privé
69,010003275,Privé
70,010003291,Privé
71,010003309,Public
72,010003325,Privé
73,010003341,Privé
74,010003374,Privé
75,010003390,Privé
76,010003424,Privé
77,010003465,Privé
78,010003481,Privé
79,010003515,Privé
80,010003531,Privé
81,010003564,Privé
82,010003580,Privé
83,010003614,Privé
84,010003630,Privé
85,010003663,Privé
86,010003697,Privé
87,010003713,Privé
88,010003739,Privé
89,010003747,Privé
90,010003762,Privé
91,010003796,Privé
92,010003812,Privé
93,010003846,Privé
94,010003861,Privé
95,010003879,Privé
96,010003895,Privé
97,010003911,Privé
98,010003929,Privé
99,010003945,Privé
100,010003960,Privé
101,010003994,Privé
102,010004026,Privé
103,010004042,Privé
104,010004075,Privé
105,010004091,Privé
106,010004125,Privé
107,010004141,Privé
108,010004174,Privé
109,010004190,Privé
110,010004224,Privé
111,010004240,Privé
112,010004265,Privé
113,010004281,Privé
114,010004315,Privé
115,010004331,Privé
116,010004364,Privé
117,010004380,Privé
118,010004414,Privé
119,010004430,Privé
120,010004463,Privé
121,010004497,Privé
122,010004513,Privé
123,010004547,Privé
124,010004562,Privé
125,010004596,Privé
126,010004612,Privé
127,010004646,Privé
128,010004661,Privé
129,010004695,Privé
130,010004711,Privé
131,010004745,Privé
132,010004760,Privé
133,010004794,Privé
134,010004844,Privé
135,010004877,Privé
136,010004893,Privé
137,010004927,Privé
138,010004943,Privé
139,010004976,Privé
140,010004992,Privé
141,010005015,Privé
142,010005031,Privé
143,010005049,Privé
144,010005064,Privé
145,010005080,Privé
146,010005130,Privé
147,010005163,Privé
148,010005189,Privé
149,010005197,Privé
150,010005213,Privé
151,010005247,Privé
152,010005262,Privé
153,010005296,Privé
154,010005312,Privé
155,010005346,Privé
156,010005361,Privé
157,010005395,Privé
158,010005411,Privé
159,010005445,Privé
160,010005460,Privé
161,010005510,Privé
162,010005544,Privé
163,010005577,Privé
164,010005593,Privé
165,010005627,Privé
166,010005643,Privé
167,010005676,Privé
168,010005692,Privé
169,010005726,Privé
170,010005742,Privé
171,010005775,Privé
172,010005791,Privé
173,010005825,Privé
174,010005841,Privé
175,010005874,Privé
176,010005890,Privé
177,010005924,Privé
178,010005940,Privé
179,010005965,Privé
180,010005981,Privé
181,010006013,Privé
182,010006047,Privé
183,010006062,Privé
184,010006096,Privé
185,010006112,Privé
186,010006146,Privé
187,010006161,Privé
188,010006195,Privé
189,010006211,Privé
190,010006336,Privé
